职位名称,工资,城市,出勤要求,实习周期,职位福利,公司名称,所属行业,公司规模,投递链接,省份
大数据工程师,133.33,南京,4天/周,4个月,福利健全，地铁边，快速成长空间，直接参与项目，留用转正机会，学习型组织，年轻态,焦点科技,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_ccmmhmhprujx?pcm=pc_SearchList,江苏
大数据实习生,104.17,北京,5天/周,3个月,福利好，学习机会多,新浪微博,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_ez8n9imdorsq?pcm=pc_SearchList,北京
大数据实习生,187.5,北京,5天/周,3个月,90后氛围，大数据，人工智能，实习,智能通证,互联网/游戏/软件,15-50人,https://www.shixiseng.com/intern/inn_zq6nmvkjywpt?pcm=pc_SearchList,北京
大数据实习生,112.5,合肥,5天/周,6个月,有梦想，锻炼自我，交通生活方便，福利体检，扁平管理，学习内容多,科大讯飞,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_wauvptzvrz3j?pcm=pc_SearchList,安徽
大数据实习生,91.67,武汉,5天/周,3个月,可留用，奖励多样，福利待遇好，正式员工名额，优秀导师，团队出游，乐趣多多，管理规范，轻松自由，学到东西,人人网,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_yojsgyfaodu6?pcm=pc_SearchList,湖北
大数据实习生,104.17,深圳,5天/周,3个月,五险 双;休，会务,挚信资本,金融/经济/投资/财会,15-50人,https://www.shixiseng.com/intern/inn_a3cwclnle120?pcm=pc_SearchList,广东
大数据实习生,291.67,北京,5天/周,6个月,自助三餐，餐饮补贴，弹性上班，不打卡，扁平化管理，免费零食茶歇,MatchUP 鼎对科技,互联网/游戏/软件,150-500人,https://www.shixiseng.com/intern/inn_pzqcbv0p6f5c?pcm=pc_SearchList,北京
大数据实习生,145.83,青岛,5天/周,3个月,进步空间大，帅哥美女福利，员工优惠旅游，双休，五险一金，提供住宿,思达同创,互联网/游戏/软件,50-150人,https://www.shixiseng.com/intern/inn_osqhwijghqas?pcm=pc_SearchList,山东
大数据实习生,158.33,青岛,5天/周,4个月,高薪行业，主张大胆创新，敬业的精神，高科技,青岛彬胜,互联网/游戏/软件,15-50人,https://www.shixiseng.com/intern/inn_2n9ijkl9r1ny?pcm=pc_SearchList,山东
大数据开发实习生,83.33,合肥,5天/周,3个月,有梦想，锻炼自我，交通生活方便，福利体检，扁平管理，学习内容多,科大讯飞,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_hukgoyzpficy?pcm=pc_SearchList,安徽
大数据挖掘实习生,30.0,武汉,5天/周,3个月,海洋文化，开放协作的团队氛围，优秀留用，高大上办公环境，上市券商，实习补贴，有志于金融圈发展职业的优秀平台,第一创业证券,金融/经济/投资/财会,500-2000人,https://www.shixiseng.com/intern/inn_uvdlanmbtubg?pcm=pc_SearchList,湖北
大数据分析实习生,95.83,合肥,5天/周,3个月,有梦想，锻炼自我，交通生活方便，福利体检，扁平管理，学习内容多,科大讯飞,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_jwx1upegubjz?pcm=pc_SearchList,安徽
大数据开发实习生,125.0,上海,4天/周,3个月,企业氛围好，签实习协议，实习经验，培训导师，高效学习,太平金服,金融/经济/投资/财会,150-500人,https://www.shixiseng.com/intern/inn_otvvwcs0ujsx?pcm=pc_SearchList,上海
大数据分析实习生,10.0,上海,4天/周,4个月,团队体验，有憧憬，有发展，用户企业，成长快速，工作氛围优良,NIO蔚来,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_gpzijqpqjhak?pcm=pc_SearchList,上海
大数据开发实习生,291.67,上海,4天/周,4个月,二次元，新兴文化代表，lo娘，猫房，特♂色社团，氛围爆好，有发展前景，技术牛人多，舒适的办公环境，发展好,哔哩哔哩,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_lykfw5mzpudg?pcm=pc_SearchList,上海
大数据开发实习生,208.33,北京,4天/周,3个月,办公环境好，助力于成长，成长快速，世界500强,三星电子中国研究院,电子/通信/硬件,500-2000人,https://www.shixiseng.com/intern/inn_yflgorlszwia?pcm=pc_SearchList,北京
大数据开发实习生,15.0,上海,5天/周,3个月,团队体验，有憧憬，有发展，用户企业，成长快速，工作氛围优良,NIO蔚来,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_uiv30ogxcrff?pcm=pc_SearchList,上海
大数据开发实习生,10.0,广州,6天/周,5个月,腾讯投资，三大运营商投资，大平台，好前景,数字广东,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_gmu0ulvzgczo?pcm=pc_SearchList,广东
大数据分析实习生,104.17,广州,3天/周,3个月,专业化流程，午餐超棒，有餐补，超赞企业文化,万孚生物,医疗/健康/制药/生物,500-2000人,https://www.shixiseng.com/intern/inn_weuwl0qbbgsr?pcm=pc_SearchList,广东
大数据开发实习生,116.67,北京,5天/周,3个月,大牛亲自带，个人提升，不定期聚会，年轻团体，接收应届生，没有官僚主义,中匠云谷,互联网/游戏/软件,15-50人,https://www.shixiseng.com/intern/inn_dpvv2uf7pirn?pcm=pc_SearchList,北京
大数据实习生(Y0089),104.17,长沙,5天/周,5个月,快速发展，生日卡福利，能学到东西，六险一金，有转正机会，提供三餐,安克创新,电子/通信/硬件,2000人以上,https://www.shixiseng.com/intern/inn_b3bevpthohan?pcm=pc_SearchList,湖南
交通大数据工程师,125.0,北京,5天/周,3个月,行业前景好，提升空间大，发展潜力巨大，成长空间,交研都市,交通/贸易/物流,50-150人,https://www.shixiseng.com/intern/inn_c9xyvbzz4vz4?pcm=pc_SearchList,北京
大数据及人工智能实习生,62.5,嘉兴,5天/周,3个月,钱途无限，薪酬待遇优厚，创新& 活跃,浙清柔电院,公共事业/NGO/政府,150-500人,https://www.shixiseng.com/intern/inn_vafkf6kbpeys?pcm=pc_SearchList,浙江
大数据分析实习生,137.5,上海,3天/周,3个月,智力密集型，富有挑战，实现自我梦想,旸谷创投,金融/经济/投资/财会,50-150人,https://www.shixiseng.com/intern/inn_esovzgrxqimu?pcm=pc_SearchList,上海
大数据开发工程师,187.5,石家庄,5天/周,3个月,导师制培训，python，零基础培训，团队氛围好,猿代码,互联网/游戏/软件,15-50人,https://www.shixiseng.com/intern/inn_zfkzqxetukro?pcm=pc_SearchList,河北
大数据开发实习生,112.5,上海,3天/周,3个月,一视同仁，快乐,珀金埃尔默,医疗/健康/制药/生物,2000人以上,https://www.shixiseng.com/intern/inn_onenvxccmywr?pcm=pc_SearchList,上海
大数据开发工程师,187.5,石家庄,5天/周,3个月,导师制培训，python，零基础培训，团队氛围好,猿代码,互联网/游戏/软件,15-50人,https://www.shixiseng.com/intern/inn_wjz9lor2p8j0?pcm=pc_SearchList,河北
数据软件实习生，大数据平台 ,208.33,上海,4天/周,3个月,世界500强，可转正，高速成长，科技平台，科技，录用机会，技术团队牛逼，同事友好nice，国际范儿，美国分公司,TESLA-特斯拉,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_bvupmxidtozj?pcm=pc_SearchList,上海
（大数据专场）数据研发实习生-国际化,250.0,北京,5天/周,3个月,有留用机会，拓展人脉，高端职位，金牌导师，新人成长，有发展前景,快手,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_glrjxld4kgof?pcm=pc_SearchList,北京
（大数据专场）数据研发实习生-电商,250.0,北京,5天/周,3个月,有留用机会，拓展人脉，高端职位，金牌导师，新人成长，有发展前景,快手,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_lc4xglv1xstk?pcm=pc_SearchList,北京
数据治理项目实习生（大数据团队）,104.17,成都,5天/周,3个月,有转正机会，资源多，培养新人,清华四川能源互联网研究院,电子/通信/硬件,150-500人,https://www.shixiseng.com/intern/inn_sxup17kjeb66?pcm=pc_SearchList,四川
SRCB-大数据开发实习生,208.33,北京,4天/周,3个月,500强外企，顶尖企业，做有趣的公益，大公司，海外国际，开放创新,中国三星,电子/通信/硬件,2000人以上,https://www.shixiseng.com/intern/inn_wocaj5bztsvb?pcm=pc_SearchList,北京
数据分析实习生（大会员）,166.67,上海,4天/周,3个月,二次元，新兴文化代表，lo娘，猫房，特♂色社团，氛围爆好，有发展前景，技术牛人多，舒适的办公环境，发展好,哔哩哔哩,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_fyvusrfjnccv?pcm=pc_SearchList,上海
大数据/自动化测试实习生,15.0,上海,5天/周,3个月,团队体验，有憧憬，有发展，用户企业，成长快速，工作氛围优良,NIO蔚来,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_zkgs1qv9wi3p?pcm=pc_SearchList,上海
大数据开发实习生（离线）,229.17,上海,4天/周,6个月,二次元，新兴文化代表，lo娘，猫房，特♂色社团，氛围爆好，有发展前景，技术牛人多，舒适的办公环境，发展好,哔哩哔哩,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_1aabyceyryje?pcm=pc_SearchList,上海
初级大数据开发工程师,125.0,全国,5天/周,3个月,学习机会多，移动互联网,数点智创,互联网/游戏/软件,50-150人,https://www.shixiseng.com/intern/inn_gwt27zygxxof?pcm=pc_SearchList,其它
大数据产业研究实习生,30.0,北京,4天/周,11个月,云计算，大数据，人工智能，职业发展，上级同事很好，阳光体制,国家工信安全中心,互联网/游戏/软件,150-500人,https://www.shixiseng.com/intern/inn_pdbtk6qtuuer?pcm=pc_SearchList,北京
大数据咨询实习生-MJ000138,30.0,上海,3天/周,3个月,合伙人，学到东西，团队氛围棒，24小时免费香浓咖啡,意略明,企业服务/咨询,150-500人,https://www.shixiseng.com/intern/inn_eirxjvwgphok?pcm=pc_SearchList,上海
大数据平台开发实习生,145.83,杭州,5天/周,3个月,发展潜力大，优厚薪资，氛围融洽，带薪年假，五险一金，实习工资,北大信研院,互联网/游戏/软件,500-2000人,https://www.shixiseng.com/intern/inn_czqmqtw6rq3u?pcm=pc_SearchList,浙江
数据分析实习生（大会员）,145.83,上海,5天/周,6个月,二次元，新兴文化代表，lo娘，猫房，特♂色社团，氛围爆好，有发展前景，技术牛人多，舒适的办公环境，发展好,哔哩哔哩,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_rvi7nlfccvwz?pcm=pc_SearchList,上海
大数据引擎开发实习生,250.0,杭州,5天/周,3个月,行业领跑，全额五险一金，大数据平台，原蚂蚁团队，充满挑战，每年15薪,Aloudata大应科技,互联网/游戏/软件,150-500人,https://www.shixiseng.com/intern/inn_t0q0czcy4bpb?pcm=pc_SearchList,浙江
大数据云架构/数据产品架构实习,145.83,上海,5天/周,6个月,物联网，人工智能，大数据，软件开发，嵌入式，云服务,博世中国,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_cg4eiothv4k5?pcm=pc_SearchList,上海
大数据与人工智能应用 （实习生）,15.0,上海,4天/周,5个月,团队体验，有憧憬，有发展，用户企业，成长快速，工作氛围优良,NIO蔚来,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_r2pjhsdwec6t?pcm=pc_SearchList,上海
实习-大数据开发工程师(A120947),145.83,北京,5天/周,3个月,新能源，上市公司，造车新势力，智能电动车，都是年轻人，500强企业,理想汽车,汽车/机械/制造,2000人以上,https://www.shixiseng.com/intern/inn_xsujvaopwpwc?pcm=pc_SearchList,北京
计算平台部-大数据研发实习生,208.33,杭州,5天/周,6个月,互联网，高逼格大厦，名企实习，各种福利，广阔平台,滴滴,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_vnlglpslhg0a?pcm=pc_SearchList,浙江
【实习】JAVA大数据开发工程师,125.0,珠海,5天/周,3个月,共同成长学习，周末双休，海景办公园区，实习津贴，餐饮补贴，免费实习宿舍,西山居,互联网/游戏/软件,500-2000人,https://www.shixiseng.com/intern/inn_3puc9wpv2ilg?pcm=pc_SearchList,广东
社交媒体大数据分析师助理,104.17,上海,4天/周,3个月,大数据，互联网，免费茶饮，地铁旁，气氛活跃，节假福利，饮食便利，丰富实战经验,simplyBrand,互联网/游戏/软件,15-50人,https://www.shixiseng.com/intern/inn_dgfgbmyirw5j?pcm=pc_SearchList,上海
大数据开发工程师（24届实习）,112.5,长沙,6天/周,4个月,年轻化的团队，实习经验，环境开放，双通道晋升，团队旅游，公司发展前景,兴盛优选,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_rvjrhci49wza?pcm=pc_SearchList,湖南
经济大数据研究员（产品研发）23SXLH18,112.5,北京,5天/周,2个月,专家导师，专业管理双通，量身定制成长，办公环境一流，学习资源丰富，广阔发展平台,中国信息通信研究院,电子/通信/硬件,2000人以上,https://www.shixiseng.com/intern/inn_fdtrv5xuhoqc?pcm=pc_SearchList,北京
